,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,kpi,awards_won.,avg_training_score,log_age,ln_education,log_previous_year_rating,ln_no_of_training,ln_age,ln_avg_training_score,ln_awards_won.,log_no_of_training,Log_no_of_training,pr_is_promoted,is_promoted,pred_is_promoted
1,8724,Technology,region_26,1,m,sourcing,1,24,3,1,1,0,77,3.17805383,0,1.098612289,0,3.17805383,4.343805422,#NAME?,0,0,0.139943425,Y,1
2,74430,HR,region_4,1,f,other,1,31,3,5,0,0,51,3.433987204,0,1.098612289,0,3.433987204,3.931825633,#NAME?,0,0,0.033584988,N,0
3,72255,Sales & Marketing,region_13,1,m,other,1,31,1,4,0,0,47,3.433987204,0,0,0,3.433987204,3.850147602,#NAME?,0,0,0.018144627,N,0
4,38562,Procurement,region_2,1,f,other,3,31,2,9,0,0,65,3.433987204,0,0.693147181,1.098612289,3.433987204,4.17438727,#NAME?,1.098612289,1.098612289,0.024280825,N,0
5,64486,Finance,region_29,1,m,sourcing,1,30,4,7,0,0,61,3.401197382,0,1.386294361,0,3.401197382,4.110873864,#NAME?,0,0,0.022204967,N,0
6,46232,Procurement,region_7,1,m,sourcing,1,36,3,2,0,0,68,3.583518938,0,1.098612289,0,3.583518938,4.219507705,#NAME?,0,0,0.041482985,N,0
7,54542,Finance,region_2,1,m,other,1,33,5,3,1,0,57,3.496507561,0,1.609437912,0,3.496507561,4.043051268,#NAME?,0,0,0.154171099,Y,1
8,67269,Analytics,region_22,1,m,sourcing,2,36,3,3,0,0,85,3.583518938,0,1.098612289,0.693147181,3.583518938,4.442651256,#NAME?,0.693147181,0.693147181,0.035116283,N,0
9,66174,Technology,region_7,3,m,other,1,51,4,11,0,0,75,3.931825633,1.098612289,1.386294361,0,3.931825633,4.317488114,#NAME?,0,0,0.075401531,N,0
10,76303,Technology,region_22,1,m,sourcing,1,29,5,2,1,0,76,3.36729583,0,1.609437912,0,3.36729583,4.33073334,#NAME?,0,0,0.325344097,Y,1
11,60245,Sales & Marketing,region_16,1,m,sourcing,2,40,5,12,1,0,50,3.688879454,0,1.609437912,0.693147181,3.688879454,3.912023005,#NAME?,0.693147181,0.693147181,0.135401599,Y,1
12,42639,Sales & Marketing,region_17,3,m,sourcing,1,40,3,10,0,0,46,3.688879454,1.098612289,1.098612289,0,3.688879454,3.828641396,#NAME?,0,0,0.057228843,N,0
13,30963,Sales & Marketing,region_4,3,f,other,1,34,3,4,0,0,52,3.526360525,1.098612289,1.098612289,0,3.526360525,3.951243719,#NAME?,0,0,0.063446964,N,0
14,54055,Analytics,region_24,1,m,other,1,37,3,10,0,0,82,3.610917913,0,1.098612289,0,3.610917913,4.406719247,#NAME?,0,0,0.018255511,N,0
15,42996,Operations,region_11,1,m,sourcing,1,30,5,6,1,0,58,3.401197382,0,1.609437912,0,3.401197382,4.060443011,#NAME?,0,0,0.129667963,Y,1
16,12737,Sales & Marketing,region_7,1,m,sourcing,1,31,4,4,1,0,47,3.433987204,0,1.386294361,0,3.433987204,3.850147602,#NAME?,0,0,0.185737841,Y,1
